tick,waypoint_idx,loc_x,loc_y,loc_z,vel_x,vel_y,vel_z,speed,roll,pitch,yaw,throttle,steer,brake
1936,0,-284.30972,392.5338,-0.011060409,-0.63080734,0.8488792,-0.0005142593,1.0575982332229614,0.00031653073956947845,6.878375857995384e-05,2.024236786636148,0.0,-0.2,0.0
1937,0,-284.3383,392.57675,-0.011088295,-0.608217,0.86298054,-0.00034796714,1.0557762384414673,0.0001826615930964754,5.221366748025986e-05,2.029090264564763,0.0,-0.15000000000000002,0.0
1938,0,-284.36578,392.6204,-0.01110897,-0.5795781,0.8797638,-0.00023766041,1.0535155534744263,2.764044530374701e-05,3.6239622033656635e-05,2.032927879695567,0.0,-0.10000000000000002,0.0
1939,0,-284.39218,392.6646,-0.011123695,-0.5477825,0.8965285,-0.00016181945,1.0506327152252197,-0.00011291801396471437,2.5033949939102056e-05,2.0356906430104154,0.0,-0.05000000000000002,0.0
1940,0,-284.4173,392.7094,-0.0111328885,-0.5131544,0.91271293,-0.00010938644,1.047078013420105,-0.0002316949985822484,1.8119811016828318e-05,2.0373488602631533,0.0,-1.3877787807814457e-17,0.0
1941,0,-284.44104,392.75482,-0.011138496,-0.47557703,0.9280252,-7.489681e-05,1.042786717414856,-0.00033023194266053487,1.5974043414772564e-05,2.037874568262335,0.0,0.0,0.0
1942,0,-284.46414,392.80023,-0.011147804,-0.45929313,0.9092617,-0.001600399,1.0186803340911865,-0.00032810144629776217,1.9192694817856196e-05,2.0378073234448104,0.0,0.0,0.0
1943,0,-284.48703,392.8455,-0.011151733,-0.45646656,0.9064239,0.00016751766,1.014872431755066,-0.0002737729600601457,2.0265578618884075e-05,2.0377360838856506,0.0,0.0,0.0
1944,0,-284.5098,392.89066,-0.01115242,-0.45426083,0.9022141,0.00019530296,1.0101203918457031,-0.00021358548691506425,2.1338462419911954e-05,2.0376661759070362,0.0,0.0,0.0
1945,0,-284.5325,392.93567,-0.011151314,-0.45937988,0.91232556,0.00017852306,1.021453857421875,-0.0001624528102401882,2.0265578618884075e-05,2.0376628469556737,0.0,0.0,0.0
1946,0,-284.5551,392.98038,-0.011154213,-0.4508881,0.89543396,0.00026884556,1.0025478601455688,-0.00012303803423433814,2.2411344189109166e-05,2.0375503283996177,0.0,0.0,0.0
1947,0,-284.57764,393.02512,-0.011157302,-0.44980016,0.89315057,0.00033361436,1.0000190734863281,-9.267799780743483e-05,2.1338462419911954e-05,2.037532751536423,0.0,0.0,0.0
1948,0,-284.6001,393.06964,-0.011194076,-0.4485444,0.8905597,-0.0006904411,0.9971404671669006,-7.030745277809189e-05,1.9669530933962662e-05,2.0375310204817145,0.0,0.0,0.0
1949,0,-284.62256,393.11417,-0.011214218,-0.44713846,0.8876938,-0.00020776749,0.9939482808113098,-5.32632136742621e-05,1.9192694817856196e-05,2.0375310204817145,0.08,0.05,0.0
1950,0,-284.64346,393.15762,-0.011197853,-0.41380432,0.89972144,-0.0001816368,0.9903194904327393,-0.00011398328652806874,4.3749808640851786e-05,2.0369061097319276,0.16,0.1,0.0
1951,0,-284.66327,393.20203,-0.011204109,-0.37811795,0.9174961,-9.5367426e-08,0.9923568964004517,-0.0002162486480051435,3.6835667686747385e-05,2.0352385714153742,0.24,0.05,0.0
1952,0,-284.68338,393.24667,-0.011208,-0.40773982,0.9139451,7.3165895e-05,1.000773310661316,-0.00016458332285760628,2.181529853601842e-05,2.0338209707671253,0.32,0.0,0.0
1953,0,-284.70456,393.29022,-0.011193275,-0.44447684,0.9006764,-0.00011546135,1.0043792724609375,-1.9174763912231845e-05,2.074241473499054e-05,2.033448394530623,0.4,0.0,0.0
1954,0,-284.72626,393.3339,-0.011185379,-0.43681037,0.8772731,0.0014639568,0.9800068736076355,4.388524234570128e-05,7.390975546337867e-06,2.033430684509374,0.48000000000000004,0.0,0.0
1955,0,-284.74832,393.37805,-0.011169738,-0.42805132,0.85784084,0.0010899829,0.9587075114250183,5.289739475389602e-05,-1.4305113960653936e-06,2.0333527870474892,0.56,0.0,0.0
1956,0,-284.77103,393.42358,-0.011171607,-0.44270626,0.88766503,0.00080641743,0.9919368624687195,4.5466392651402543e-05,-3.4570692579538014e-05,2.0333527870474892,0.64,0.005141963707103514,0.0
1957,0,-284.7946,393.4711,-0.011170387,-0.47849268,0.9681887,0.00033475398,1.0799744129180908,2.640163408323959e-05,-8.046626475878422e-05,2.033275022743659,0.72,0.05514196370710352,0.0
1958,0,-284.81778,393.51987,-0.011172637,-0.46483696,1.029437,5.5694578e-05,1.1295193433761597,-6.498113059793341e-05,-0.0001051425881187641,2.0325795382249847,0.7999999999999999,0.005141963707103514,0.0
