tick,waypoint_idx,loc_x,loc_y,loc_z,vel_x,vel_y,vel_z,speed,roll,pitch,yaw,throttle,steer,brake
3239,1,-283.80835,391.7223,-0.011192703,-0.009223054,0.025340445,-3.33786e-06,0.026966700330376625,1.4466945463490368e-06,-5.960464150272474e-07,1.919857782977964,0.0,0.0,0.0
3240,1,-283.80838,391.7224,-0.01118309,-3.3814317e-06,9.3768995e-06,-3.8337707e-06,1.0679799743229523e-05,1.7867295038206774e-07,2.3961066138074177e-05,1.9198583156101818,0.0,0.0,0.0
3241,1,-283.80838,391.7224,-0.011181106,8.469877e-08,-2.066779e-07,-3.8337707e-06,3.840271801891504e-06,1.1786505240967493e-07,2.8848646995276438e-05,1.9198583156101818,0.0,0.0,0.0
3242,1,-283.80838,391.7224,-0.011182441,1.1261992e-06,-3.1386382e-06,-3.0517576e-06,4.52024323749356e-06,8.928599689793416e-08,2.5629995592192802e-05,1.9198583156101818,0.0,0.0,0.0
3243,1,-283.80838,391.7224,-0.011184654,1.2712477e-06,-3.5233213e-06,-2.9945372e-06,4.795530912815593e-06,6.814297334899438e-08,2.074241473499054e-05,1.9198583156101818,0.0,0.0,0.0
3244,1,-283.80838,391.7224,-0.011186714,1.1148165e-06,-3.0857504e-06,-2.8419495e-06,4.340662144386442e-06,3.408467770014683e-08,1.5974043414772564e-05,1.9198583156101818,0.0,0.0,0.0
3245,1,-283.80838,391.7224,-0.011188431,8.8162363e-07,-2.4761548e-06,-3.3140182e-06,4.229813384881709e-06,1.939952036947854e-08,1.1801718763560664e-05,1.9198583156101818,0.0,0.0,0.0
3246,1,-283.80838,391.7224,-0.011189689,6.5824975e-07,-1.8804393e-06,-3.5476685e-06,4.068820089742076e-06,2.2852418164785286e-08,8.583068376392361e-06,1.9198583156101818,0.0,0.0,0.0
3247,1,-283.80838,391.7224,-0.011190719,5.025714e-07,-1.3679467e-06,-3.2997132e-06,3.6072099192097085e-06,2.6211863654729995e-08,6.4373012822942715e-06,1.9198583156101818,0.0,0.0,0.0
3248,1,-283.80838,391.7224,-0.011190719,0.0,-0.0,0.0,0.0,2.6211863654729995e-08,6.4373012822942715e-06,1.9198583156101818,0.0,0.0,0.0
