tick,waypoint_idx,loc_x,loc_y,loc_z,vel_x,vel_y,vel_z,speed,roll,pitch,yaw,throttle,steer,brake
0,2774,-283.79953,391.69986,-0.023887219,-0.00040939718,0.0011143041,0.08307269,0.08308117091655731,1.735260191663265e-05,-0.007068753059843013,1.919794666060129,0.0,0.0,0.0
1,2774,-283.79953,391.69983,-0.019868173,-0.00041013188,0.001114891,0.064380795,0.06439175456762314,1.4313091943762606e-05,-0.006413936363400821,1.9197955981665105,0.0,0.0,0.0
2,2774,-283.7995,391.6998,-0.016691385,-0.00040972425,0.0011137426,0.04950664,0.049520861357450485,1.1302020488804319e-05,-0.005784511243476853,1.9197955981665105,0.0,0.0,0.0
3,2774,-283.7995,391.6997,-0.01420392,-0.00040856708,0.001111449,0.037818506,0.037837039679288864,8.514498663045711e-06,-0.005214214021387799,1.9197942665859655,0.0,0.0,0.0
4,2774,-283.7995,391.69968,-0.012272949,-0.00040699675,0.001108508,0.028727433,0.028751691803336143,6.100696531196558e-06,-0.004719734186730588,1.9197943997440199,0.0,0.0,0.0
5,2774,-283.79947,391.69968,-0.010786166,-0.0004052412,0.0011053084,0.021716412,0.021748298779129982,4.089708130537118e-06,-0.004305600933878633,1.9197947992181834,0.0,0.0,0.0
6,2774,-283.79944,391.69965,-0.009650269,-0.00040348986,0.0011021075,0.016346334,0.016388412564992905,2.4747763542099418e-06,-0.003969311567600503,1.9197955981665105,0.0,0.0,0.0
7,2774,-283.79944,391.69962,-0.008789153,-0.00040183403,0.0010990775,0.012258165,0.012313895858824253,1.2295869632642121e-06,-0.0037038323777710824,1.9197955981665105,0.0,0.0,0.0
8,2774,-283.79944,391.69962,-0.008141451,-0.0004003248,0.0010963108,0.0091612525,0.00923529639840126,2.9162214723297606e-07,-0.003499865447190037,1.919795731324565,0.0,0.0,0.0
9,2774,-283.79944,391.69962,-0.007657976,-0.00039903293,0.0010938256,0.006828353,0.0069269100204110146,-5.326030104500289e-07,-0.003347754216162578,1.919795465008456,0.0,0.0,0.0
10,2774,-283.79944,391.69955,-0.0073001524,-0.00039789185,0.0010916473,0.0050744805,0.005205801222473383,-1.065322089226833e-06,-0.0032374858231683868,1.9197955981665105,0.0,0.0,0.0
11,2774,-283.79944,391.69955,-0.007037506,-0.0003969413,0.0010897348,0.0037628056,0.003937485162168741,-1.065321835248e-06,-0.0031607150032603487,1.9197955981665105,0.0,0.0,0.0
12,2774,-283.79944,391.69955,-0.0068464037,-0.00039546486,0.0010883086,0.002783188,0.0030144555494189262,-1.0652052589635582e-06,-0.003109335759870535,1.9197955981665105,0.0,0.0,0.0
13,2774,-283.79944,391.69955,-0.0068464037,0.0,-0.0,0.0,0.0,-1.0652052589635582e-06,-0.003109335759870535,1.9197955981665105,0.0,0.0,0.0
14,2774,-283.79944,391.69955,-0.0068464037,0.0,-0.0,0.0,0.0,-1.0652052589635582e-06,-0.003109335759870535,1.9197955981665105,0.0,0.0,0.0
15,2774,-283.79944,391.69955,-0.0068464037,0.0,-0.0,0.0,0.0,-1.0652052589635582e-06,-0.003109335759870535,1.9197955981665105,0.0,0.0,0.0
16,2774,-283.79944,391.69955,-0.0068464037,0.0,-0.0,0.0,0.0,-1.0652052589635582e-06,-0.003109335759870535,1.9197955981665105,0.0,0.0,0.0
17,2774,-283.79944,391.69955,-0.0068464037,0.0,-0.0,0.0,0.0,-1.0652052589635582e-06,-0.003109335759870535,1.9197955981665105,0.0,0.0,0.0
18,2774,-283.79944,391.69955,-0.0068464037,0.0,-0.0,0.0,0.0,-1.0652052589635582e-06,-0.003109335759870535,1.9197955981665105,0.0,0.0,0.0
19,2774,-283.79944,391.69955,-0.0068464037,0.0,-0.0,0.0,0.0,-1.0652052589635582e-06,-0.003109335759870535,1.9197955981665105,0.0,0.0,0.0
20,2774,-283.79944,391.69955,-0.0068464037,0.0,-0.0,0.0,0.0,-1.0652052589635582e-06,-0.003109335759870535,1.9197955981665105,0.0,0.0,0.0
21,2774,-283.79944,391.69955,-0.0068464037,0.0,-0.0,0.0,0.0,-1.0652052589635582e-06,-0.003109335759870535,1.9197955981665105,0.0,0.0,0.0
22,2774,-283.79944,391.69955,-0.0068464037,0.0,-0.0,0.0,0.0,-1.0652052589635582e-06,-0.003109335759870535,1.9197955981665105,0.0,0.0,0.0
23,2774,-283.79944,391.69955,-0.0068464037,0.0,-0.0,0.0,0.0,-1.0652052589635582e-06,-0.003109335759870535,1.9197955981665105,0.0,0.0,0.0
24,2774,-283.79944,391.69955,-0.0068464037,0.0,-0.0,0.0,0.0,-1.0652052589635582e-06,-0.003109335759870535,1.9197955981665105,0.0,0.0,0.0
25,2774,-283.79944,391.69955,-0.0068464037,0.0,-0.0,0.0,0.0,-1.0652052589635582e-06,-0.003109335759870535,1.9197955981665105,0.0,0.0,0.0
26,2774,-283.79944,391.69955,-0.0068464037,0.0,-0.0,0.0,0.0,-1.0652052589635582e-06,-0.003109335759870535,1.9197955981665105,0.0,0.0,0.0
27,2774,-283.79944,391.69955,-0.0068464037,0.0,-0.0,0.0,0.0,-1.0652052589635582e-06,-0.003109335759870535,1.9197955981665105,0.0,0.0,0.0
28,2774,-283.79944,391.69955,-0.0068464037,0.0,-0.0,0.0,0.0,-1.0652052589635582e-06,-0.003109335759870535,1.9197955981665105,0.0,0.0,0.0
29,2774,-283.79944,391.69955,-0.0068464037,0.0,-0.0,0.0,0.0,-1.0652052589635582e-06,-0.003109335759870535,1.9197955981665105,0.0,0.0,0.0
30,2774,-283.79944,391.69955,-0.0068464037,0.0,-0.0,0.0,0.0,-1.0652052589635582e-06,-0.003109335759870535,1.9197955981665105,0.0,0.0,0.0
31,2774,-283.79944,391.69955,-0.0068464037,0.0,-0.0,0.0,0.0,-1.0652052589635582e-06,-0.003109335759870535,1.9197955981665105,0.0,0.0,0.0
32,2774,-283.79944,391.69955,-0.0068464037,0.0,-0.0,0.0,0.0,-1.0652052589635582e-06,-0.003109335759870535,1.9197955981665105,0.0,0.0,0.0
