tick,waypoint_idx,loc_x,loc_y,loc_z,vel_x,vel_y,vel_z,speed,roll,pitch,yaw,throttle,steer,brake
3900,2774,-283.81842,391.77362,-0.011187896,-0.013898646,0.07470782,-4.076004e-05,0.07598968595266342,5.562879335300808e-07,1.6689299620762925e-06,1.9133873667935073,0.0,0.09997456954722182,0.0
3901,2774,-283.81845,391.77365,-0.0111608505,-8.218397e-06,2.3127554e-05,-2.9435158e-05,3.8325633795466274e-05,3.350515384636645e-05,6.985663831732039e-05,1.913392027325415,0.0,0.04997456954722182,0.0
3902,2774,-283.81845,391.77365,-0.011157531,-8.940973e-08,-2.0977598e-06,-1.9946097e-05,2.0056306311744265e-05,3.523242731804919e-05,8.046626475878422e-05,1.913392027325415,0.0,0.0,0.0
3903,2774,-283.81845,391.7737,-0.0111623,2.895272e-06,-9.079063e-06,-1.4572143e-05,1.7411472072126344e-05,2.9376085854110887e-05,7.09295261820096e-05,1.913392027325415,0.0,0.0,0.0
3904,2774,-283.81845,391.7737,-0.011168746,3.339487e-06,-9.791624e-06,-1.0657311e-05,1.4852822459943127e-05,2.2886203333977955e-05,5.650519862071005e-05,1.913392027325415,0.0,0.0,0.0
3905,2774,-283.81845,391.7737,-0.011174659,2.9198256e-06,-8.503087e-06,-7.452965e-06,1.1677951079036575e-05,1.74052710311476e-05,4.315375892409971e-05,1.913392027325415,0.0,0.0,0.0
3906,2774,-283.81845,391.7737,-0.011179428,2.3153705e-06,-6.721351e-06,-6.484985e-06,9.622501238482073e-06,1.3119905480852325e-05,3.194808682954513e-05,1.913392027325415,0.0,0.0,0.0
3907,2774,-283.81845,391.7737,-0.011183242,1.7903661e-06,-5.089842e-06,-4.520416e-06,7.0388964559242595e-06,9.839653035647549e-06,2.3961066138074177e-05,1.913392027325415,0.0,0.0,0.0
3908,2774,-283.81845,391.7737,-0.011185989,1.3386806e-06,-3.7956543e-06,-3.5095213e-06,5.340018560673343e-06,7.3782964150265515e-06,1.7642974900721855e-05,1.913392027325415,0.0,0.0,0.0
3909,2774,-283.81845,391.7737,-0.011185989,0.0,-0.0,0.0,0.0,7.3782964150265515e-06,1.7642974900721855e-05,1.913392027325415,0.0,0.0,0.0
3910,2774,-283.81845,391.7737,-0.011185989,0.0,-0.0,0.0,0.0,7.3782964150265515e-06,1.7642974900721855e-05,1.913392027325415,0.0,0.0,0.0
3911,2774,-283.81845,391.7737,-0.011185989,0.0,-0.0,0.0,0.0,7.3782964150265515e-06,1.7642974900721855e-05,1.913392027325415,0.0,0.0,0.0
3912,2774,-283.81845,391.7737,-0.011185989,0.0,-0.0,0.0,0.0,7.3782964150265515e-06,1.7642974900721855e-05,1.913392027325415,0.0,0.0,0.0
3913,2774,-283.81845,391.7737,-0.011185989,0.0,-0.0,0.0,0.0,7.3782964150265515e-06,1.7642974900721855e-05,1.913392027325415,0.0,0.0,0.0
