tick,waypoint_idx,loc_x,loc_y,loc_z,vel_x,vel_y,vel_z,speed,roll,pitch,yaw,throttle,steer,brake
3400,0,-283.83942,392.67636,-0.0111422725,0.11482326,1.1083889,6.6089626e-05,1.1143206357955933,-0.00019654127219320247,-1.6689299620762925e-06,1.7567321088337218,0.15920451164245608,0.3477777090008775,0.0
3401,0,-283.8376,392.72928,-0.01114521,0.0933148,1.0875617,-1.5969275e-05,1.0915576219558716,-0.00012197276167098379,-9.775161714404522e-06,1.7488452904235066,0.2392045116424561,0.2977777090008775,0.0
3402,0,-283.8366,392.782,-0.011147461,0.0661969,1.0888103,-4.2052267e-05,1.0908207893371582,-7.989483270237714e-06,-1.1205672094554583e-05,1.7419620842700878,0.3192045116424561,0.24777770900087753,0.0
3403,0,-283.8367,392.83514,-0.01115364,0.033848036,1.0961452,-4.869461e-05,1.0966676473617554,0.00010252084386497344,-2.002715954491551e-05,1.7360956730208612,0.39920451164245613,0.19777770900087754,0.0
3404,0,-283.83817,392.88867,-0.011160354,-0.0027953729,1.1009995,-4.155636e-05,1.1010030508041382,0.00020493572369707197,-3.0994414597332196e-05,1.7311352691744797,0.47920451164245614,0.14777770900087756,0.0
3405,0,-283.84128,392.94278,-0.011169395,-0.044082165,1.1207839,-3.411293e-05,1.1216504573822021,0.00029887367595492095,-4.756450569702617e-05,1.7269498452053111,0.5592045116424561,0.09777770900087755,0.0
3406,0,-283.84604,392.9982,-0.011182327,-0.08621395,1.146693,-2.6574135e-05,1.149929404258728,0.00037257561882556305,-7.498263824849122e-05,1.723685342341092,0.5714486515522004,0.04777770900087755,0.0
3407,0,-283.8526,393.05527,-0.0111977765,-0.13080677,1.1830082,-1.7976761e-05,1.1902179718017578,0.0004328704701576627,-0.00010931491175406066,1.7215217902715116,0.5694342231750489,-0.002222290999122453,0.0
3408,0,-283.86105,393.1143,-0.011213112,-0.18245244,1.2204287,-1.3003349e-05,1.2339915037155151,0.0004927350935372952,-0.00014340877024932288,1.7205490706833602,0.567245546579361,-0.052222290999122456,0.0
3409,0,-283.8715,393.17526,-0.011226234,-0.23392545,1.2517632,-9.264946e-06,1.2734333276748657,0.000544490566947806,-0.00017344950042345815,1.7208015383546997,0.5652734553813935,-0.10222229099912246,0.0
3410,0,-283.8842,393.23816,-0.0112365335,-0.29470882,1.2944677,-1.04522705e-05,1.3275917768478394,0.0006067611379098919,-0.00019681452903576424,1.72245775823662,0.5625655329227448,-0.15222229099912246,0.0
3411,0,-283.89926,393.3028,-0.011243057,-0.35407546,1.3205185,-5.8841706e-06,1.3671643733978271,0.0006705668625950701,-0.00021171568255401693,1.7255527508974555,0.5605869030952454,-0.20222229099912248,0.0
3412,0,-283.91693,393.36893,-0.01124588,-0.4215047,1.350113,-3.3950805e-06,1.4143801927566528,0.0007353204281584508,-0.00021791457034987696,1.7302022306865705,0.5582261121273041,-0.25222229099912247,0.0
3413,0,-283.93735,393.43652,-0.011247024,-0.4904247,1.3780327,-2.2649765e-06,1.4626996517181396,0.0007991022260057103,-0.00022053717609986985,1.7364067302361825,0.5558101391792298,-0.30222229099912246,0.0
3414,0,-283.96057,393.5051,-0.011244316,-0.56099707,1.3893323,-1.8835067e-06,1.4983197450637817,0.0008633889581553516,-0.00021386145828339534,1.74426611808717,0.5540291345119477,-0.35222229099912244,0.0
3415,0,-283.98688,393.57462,-0.011240234,-0.63909674,1.4081936,-2.5320053e-06,1.546432614326477,0.0009281518863944397,-0.00020384788155868358,1.7537694752790631,0.5516234910488129,-0.3893115597127337,0.0
3416,0,-284.01617,393.64474,-0.011233825,-0.7062302,1.410247,7.629394e-07,1.5771993398666382,0.000975217797100761,-0.00018894671178578556,1.7649093449608102,0.5500851547718049,-0.3627203852075238,0.0
3417,0,-284.04736,393.71667,-0.011236572,-0.7372353,1.4590344,9.727478e-07,1.634716272354126,0.000890871662285371,-0.00019514559958164562,1.7764221903532227,0.5472093081474305,-0.33304789930144946,0.0
3418,0,-284.0796,393.7908,-0.011243515,-0.7457824,1.5012318,9.5367426e-08,1.6762721538543701,0.0007259074930877956,-0.00021123885253340245,1.7876040048221384,0.5451315140724183,-0.30657999167197997,0.0
